order_item_id,order_id,product_id,quantity,discount_percent
1,143,493,4,5
2,297,284,-5,7
3,558,92,3,68
4,368,267,1,98
5,570,450,5,73
6,896,341,1,42
7,683,418,5,70
8,610,378,4,33
9,762,55,5,44
10,887,122,1,19
11,458,404,3,1
12,218,24,3,92
13,696,207,1,75
14,798,306,3,82
15,934,496,3,49
16,572,134,5,24
17,555,341,3,55
18,54,258,4,92
19,670,61,5,60
20,900,330,1,3
21,769,105,4,47
22,126,25,2,34
23,311,487,3,16
24,961,23,4,61
25,352,489,4,71
26,411,420,3,21
27,40,194,2,100
28,120,166,3,78
29,894,245,2,40
30,787,92,2,23
31,9,170,2,27
32,664,338,3,56
33,265,256,3,61
34,311,278,3,87
35,382,306,2,76
36,175,50,2,68
37,7,251,1,17
38,747,179,2,13
39,849,442,-5,7
40,256,202,2,84
41,94,477,1,91
42,243,473,2,81
43,507,81,4,98
44,658,280,2,79
45,329,365,3,70
46,186,300,3,21
47,355,72,3,12
48,515,168,4,47
49,460,35,1,43
50,542,437,1,46
51,95,133,4,58
52,483,118,3,81
53,791,73,3,56
54,750,381,3,14
55,865,237,1,45
56,720,413,5,58
57,297,434,5,26
58,237,251,5,68
59,200,64,5,27
60,895,404,1,88
61,846,330,5,76
62,438,480,1,65
63,548,456,2,71
64,814,90,4,69
65,10,147,5,55
66,701,33,3,23
67,709,157,4,41
68,218,475,3,93
69,832,413,5,6
70,579,443,1,45
71,490,97,3,35
72,509,45,4,56
73,956,84,5,50
74,67,159,2,26
75,140,301,5,73
76,386,323,4,33
77,350,27,5,75
78,810,15,1,14
79,610,284,3,61
80,18,273,2,87
81,168,49,1,69
82,680,268,3,36
83,302,200,3,94
84,796,265,3,79
85,923,430,5,92
86,380,225,2,71
87,380,422,4,42
88,585,179,5,16
89,760,57,5,6
90,74,226,5,59
91,624,339,1,17
92,554,97,5,57
93,474,8,3,96
94,307,469,3,42
95,809,137,2,54
96,895,82,5,50
97,108,43,2,92
98,31,108,5,64
99,445,435,5,14
100,592,126,5,62
101,82,141,-3,73
102,841,12,5,84
103,990,432,5,80
104,854,54,4,59
105,380,162,2,71
106,947,217,5,26
107,809,192,1,80
108,321,382,5,68
109,773,370,-4,95
110,857,343,3,24
111,405,11,1,15
112,807,300,1,1
113,879,273,2,73
114,315,69,3,44
115,741,219,1,73
116,544,168,5,12
117,735,63,1,36
118,901,70,3,27
119,212,206,1,43
120,815,403,5,63
121,776,206,2,56
122,707,179,5,92
123,582,126,2,45
124,634,31,1,80
125,330,500,4,11
126,979,150,4,85
127,667,172,4,48
128,500,291,2,45
129,899,60,1,48
130,403,490,5,5
131,859,261,2,60
132,468,15,2,69
133,785,333,-4,52
134,937,128,3,22
135,387,414,3,32
136,722,350,4,9
137,108,320,4,41
138,210,172,5,81
139,420,425,3,5
140,987,64,1,24
141,560,1,2,62
142,9,136,2,62
143,433,69,5,13
144,266,347,3,58
145,774,297,2,75
146,217,475,1,73
147,817,23,4,63
148,712,388,5,80
149,942,2,5,22
150,550,391,3,78
151,784,139,3,96
152,115,439,2,98
153,767,458,4,17
