product_id,product_name,category,subcategory,cost_price,unit_price
1,Puma Shampoo,Beauty,Shampoo,4653,5081
2,HP MOBILE,Electronics,Mobile,38390,42516
3,Boat Face Wash,Beauty,Face Wash,24324,28594
4,HP JACKET,Clothing,Jacket,10178,14670
5,Lenovo Perfume,Beauty,Perfume,36655,39821
6,Lakme Jeans,Clothing,Jeans,40020,42219
7,Nike Lamp,Home,Lamp,8009,13437
8,Boat Smart Watch,Electronics,Smart Watch,42890,48493
9,Dell Biography,Books,Biography,7585,8026
10,HP Mobile,Electronics,Mobile,49991,54762
11,Boat Chair,Home,Chair,20081,23137
12,Boat Lipstick,Beauty,Lipstick,16736,18612
13,HP Table,Home,Table,12056,19204
14,Loreal Comics,Books,Comics,21653,25503
15,Adidas Football,Sports,Football,31668,36362
16,Apple Lipstick,Beauty,Lipstick,40594,41572
17,Mamaearth Laptop,Electronics,Laptop,934,8790
18,Adidas Headphones,Electronics,Headphones,25196,31265
19,Samsung Shirt,Clothing,Shirt,24320,26183
20,Apple Programming,Books,Programming,18548,22068
21,Apple Table,Home,Table,19995,21256
22,Philips Shirt,Clothing,Shirt,48975,56877
23,Dell Smart Watch,Electronics,Smart Watch,1140,2162
24,Mamaearth Jacket,Clothing,Jacket,38196,43988
25,Loreal Table,Home,Table,37111,41140
26,HP Lipstick,Beauty,Lipstick,4470,7826
27,Adidas Laptop,Electronics,Laptop,28543,35446
28,Boat Shirt,Clothing,Shirt,3085,8563
29,Loreal Lamp,Home,Lamp,31602,33362
30,Mamaearth Headphones,Electronics,Headphones,12525,14548
31,Mamaearth Laptop,Electronics,Laptop,37110,44053
32,Lakme Tennis Racket,Sports,Tennis Racket,15372,21333
33,Sony Headphones,Electronics,Headphones,5994,10993
34,Sony Biography,Books,Biography,43362,50849
35,Sony Football,Sports,Football,48381,53718
36,Sony Jacket,Clothing,Jacket,30837,33783
37,Philips Jacket,Clothing,Jacket,35738,39178
38,Boat Novel,Books,Novel,16793,24141
39,Adidas Sofa,Home,Sofa,49594,54111
40,Sony Shirt,Clothing,Shirt,33384,41006
41,Boat Lipstick,Beauty,Lipstick,22590,27115
42,Mamaearth Lipstick,Beauty,Lipstick,37797,39039
43,Apple Jacket,Clothing,Jacket,27658,34972
44,PUMA CRICKET BAT,Sports,Cricket Bat,7003,11817
45,Loreal Football,Sports,Football,15062,20765
46,Apple Sofa,Home,Sofa,21531,27626
47,Puma Sofa,Home,Sofa,43250,50062
48,Loreal Gym Bag,Sports,Gym Bag,26938,32672
49,Philips Mobile,Electronics,Mobile,42398,46214
50,Loreal Lipstick,Beauty,Lipstick,239,7655
51,Adidas Cricket Bat,Sports,Cricket Bat,9660,17262
52,Lakme Chair,Home,Chair,26815,29396
53,MAMAEARTH CRICKET BAT,Sports,Cricket Bat,12717,13009
54,HP Table,Home,Table,12370,19250
55,Lenovo Laptop,Electronics,Laptop,29861,37751
56,Samsung Sofa,Home,Sofa,45932,50927
57,HP Programming,Books,Programming,20108,23718
58,Philips Novel,Books,Novel,32400,32758
59,Lenovo Table,Home,Table,46116,50095
60,Nike Novel,Books,Novel,45327,50236
61,Samsung Sofa,Home,Sofa,25101,25517
62,Lenovo Smart Watch,Electronics,Smart Watch,35834,36688
63,Adidas Face Wash,Beauty,Face Wash,25093,31329
64,Samsung Tennis Racket,Sports,Tennis Racket,21359,23996
65,HP Shampoo,Beauty,Shampoo,40420,43883
66,  Boat Lipstick  ,Beauty,Lipstick,44452,50948
67,Apple Tennis Racket,Sports,Tennis Racket,33103,34687
